starttime,location,value
2021-10-19 00:00:00,Broadway/35th St,2.796912
2021-10-19 00:00:00,Queens College,2.52744
2021-10-19 00:00:00,Cross Bronx Expy,3.528336
2021-10-19 00:00:00,Queensboro Bridge,2.758416
2021-10-19 00:00:00,Williamsburg Bridge,3.711192
2021-10-19 00:00:00,Manhattan Bridge,3.422472
2021-10-19 01:00:00,Broadway/35th St,3.0775875
2021-10-19 01:00:00,Queens College,2.52825
2021-10-19 01:00:00,Cross Bronx Expy,3.2703375
2021-10-19 01:00:00,Queensboro Bridge,2.75955
2021-10-19 01:00:00,Williamsburg Bridge,3.588375
2021-10-19 01:00:00,Manhattan Bridge,3.0775875
2021-10-19 02:00:00,Broadway/35th St,2.991822
2021-10-19 02:00:00,Queens College,2.605962
2021-10-19 02:00:00,Cross Bronx Expy,3.68637
2021-10-19 02:00:00,Queensboro Bridge,2.895357
2021-10-19 02:00:00,Williamsburg Bridge,4.0625835
2021-10-19 02:00:00,Manhattan Bridge,3.821421
2021-10-19 03:00:00,Broadway/35th St,3.282459
2021-10-19 03:00:00,Queens College,2.7900285
2021-10-19 03:00:00,Cross Bronx Expy,3.996966
2021-10-19 03:00:00,Queensboro Bridge,3.5238465
2021-10-19 03:00:00,Williamsburg Bridge,4.730784
2021-10-19 03:00:00,Manhattan Bridge,5.0107935
2021-10-19 04:00:00,Broadway/35th St,3.8539065
2021-10-19 04:00:00,Queens College,3.1387335
2021-10-19 04:00:00,Cross Bronx Expy,4.868679
2021-10-19 04:00:00,Queensboro Bridge,3.1000755
2021-10-19 04:00:00,Williamsburg Bridge,4.0665255
2021-10-19 04:00:00,Manhattan Bridge,4.84935
2021-10-19 05:00:00,Broadway/35th St,4.3393545
2021-10-19 05:00:00,Queens College,4.1071905
2021-10-19 05:00:00,Cross Bronx Expy,4.7456415
2021-10-19 05:00:00,Queensboro Bridge,3.284943
2021-10-19 05:00:00,Williamsburg Bridge,5.8290735
2021-10-19 05:00:00,Manhattan Bridge,6.78675
2021-10-19 06:00:00,Broadway/35th St,7.640664
2021-10-19 06:00:00,Queens College,3.169428
2021-10-19 06:00:00,Cross Bronx Expy,5.201808
2021-10-19 06:00:00,Queensboro Bridge,4.582416
2021-10-19 06:00:00,Williamsburg Bridge,5.588928
2021-10-19 06:00:00,Manhattan Bridge,6.808356
2021-10-19 07:00:00,Broadway/35th St,6.415707
2021-10-19 07:00:00,Queens College,4.972344
2021-10-19 07:00:00,Cross Bronx Expy,4.972344
2021-10-19 07:00:00,Queensboro Bridge,4.546116
2021-10-19 07:00:00,Williamsburg Bridge,5.72793
2021-10-19 07:00:00,Manhattan Bridge,6.512577
2021-10-19 08:00:00,Broadway/35th St,5.110896
2021-10-19 08:00:00,Queens College,4.073424
2021-10-19 08:00:00,Cross Bronx Expy,6.36168
2021-10-19 08:00:00,Queensboro Bridge,5.033328
2021-10-19 08:00:00,Williamsburg Bridge,6.94344
2021-10-19 08:00:00,Manhattan Bridge,6.982224
2021-10-19 09:00:00,Broadway/35th St,5.586
2021-10-19 09:00:00,Queens College,4.257648
2021-10-19 09:00:00,Cross Bronx Expy,5.1012
2021-10-19 09:00:00,Queensboro Bridge,4.461264
2021-10-19 09:00:00,Williamsburg Bridge,13.022832
2021-10-19 09:00:00,Manhattan Bridge,7.108272
2021-10-19 10:00:00,Broadway/35th St,5.24817
2021-10-19 10:00:00,Queens College,4.122912
2021-10-19 10:00:00,Cross Bronx Expy,5.1220635
2021-10-19 10:00:00,Queensboro Bridge,4.1132115
2021-10-19 10:00:00,Williamsburg Bridge,6.625641
2021-10-19 10:00:00,Manhattan Bridge,7.304676
2021-10-19 11:00:00,Broadway/35th St,5.771997
2021-10-19 11:00:00,Queens College,4.0938105
2021-10-19 11:00:00,Cross Bronx Expy,5.2966725
2021-10-19 11:00:00,Queensboro Bridge,4.3848255
2021-10-19 11:00:00,Williamsburg Bridge,6.179418
2021-10-19 11:00:00,Manhattan Bridge,8.0710155
2021-10-19 12:00:00,Broadway/35th St,6.148368
2021-10-19 12:00:00,Queens College,4.723056
2021-10-19 12:00:00,Cross Bronx Expy,4.8588
2021-10-19 12:00:00,Queensboro Bridge,4.897584
2021-10-19 12:00:00,Williamsburg Bridge,6.885264
2021-10-19 12:00:00,Manhattan Bridge,7.147056
2021-10-19 13:00:00,Broadway/35th St,5.8907775000000004
2021-10-19 13:00:00,Queens College,5.16459
2021-10-19 13:00:00,Cross Bronx Expy,4.77729
2021-10-19 13:00:00,Queensboro Bridge,4.409355
2021-10-19 13:00:00,Williamsburg Bridge,6.5685525
2021-10-19 13:00:00,Manhattan Bridge,5.997285
2021-10-19 14:00:00,Broadway/35th St,5.31168
2021-10-19 14:00:00,Queens College,3.90132
2021-10-19 14:00:00,Cross Bronx Expy,4.54854
2021-10-19 14:00:00,Queensboro Bridge,4.38432
2021-10-19 14:00:00,Williamsburg Bridge,6.06516
2021-10-19 14:00:00,Manhattan Bridge,6.09414
2021-10-19 15:00:00,Broadway/35th St,4.663968
2021-10-19 15:00:00,Queens College,3.740064
2021-10-19 15:00:00,Cross Bronx Expy,4.250136
2021-10-19 15:00:00,Queensboro Bridge,4.40412
2021-10-19 15:00:00,Williamsburg Bridge,5.684112
2021-10-19 15:00:00,Manhattan Bridge,5.712984
2021-10-19 16:00:00,Broadway/35th St,5.171568
2021-10-19 16:00:00,Queens College,3.982656
2021-10-19 16:00:00,Cross Bronx Expy,4.567524
2021-10-19 16:00:00,Queensboro Bridge,4.912692
2021-10-19 16:00:00,Williamsburg Bridge,6.12078
2021-10-19 16:00:00,Manhattan Bridge,6.628944
2021-10-19 17:00:00,Broadway/35th St,5.0911275
2021-10-19 17:00:00,Queens College,4.43235
2021-10-19 17:00:00,Cross Bronx Expy,4.66149
2021-10-19 17:00:00,Queensboro Bridge,5.88357
2021-10-19 17:00:00,Williamsburg Bridge,7.33479
2021-10-19 17:00:00,Manhattan Bridge,8.766915
2021-10-19 18:00:00,Broadway/35th St,5.758698
2021-10-19 18:00:00,Queens College,4.89438
2021-10-19 18:00:00,Cross Bronx Expy,3.583656
2021-10-19 18:00:00,Queensboro Bridge,6.528036
2021-10-19 18:00:00,Williamsburg Bridge,9.367938
2021-10-19 18:00:00,Manhattan Bridge,9.291954
2021-10-19 19:00:00,Broadway/35th St,5.688042
2021-10-19 19:00:00,Queens College,5.499252
2021-10-19 19:00:00,Cross Bronx Expy,3.988932
2021-10-19 19:00:00,Queensboro Bridge,7.179483
2021-10-19 19:00:00,Williamsburg Bridge,7.9818405
2021-10-19 19:00:00,Manhattan Bridge,8.9257905
2021-10-19 20:00:00,Broadway/35th St,5.569329
2021-10-19 20:00:00,Queens College,6.113166
2021-10-19 20:00:00,Cross Bronx Expy,5.419305
2021-10-19 20:00:00,Queensboro Bridge,5.8412475
2021-10-19 20:00:00,Williamsburg Bridge,7.7915595
2021-10-19 20:00:00,Manhattan Bridge,7.838442
2021-10-19 21:00:00,Broadway/35th St,5.39766
2021-10-19 21:00:00,Queens College,5.453568
2021-10-19 21:00:00,Cross Bronx Expy,4.195638
2021-10-19 21:00:00,Queensboro Bridge,5.44425
2021-10-19 21:00:00,Williamsburg Bridge,6.478548
2021-10-19 21:00:00,Manhattan Bridge,6.730134
2021-10-19 22:00:00,Broadway/35th St,4.754265
2021-10-19 22:00:00,Queens College,4.80054
2021-10-19 22:00:00,Cross Bronx Expy,4.957875
2021-10-19 22:00:00,Queensboro Bridge,5.198505
2021-10-19 22:00:00,Williamsburg Bridge,10.899585
2021-10-19 22:00:00,Manhattan Bridge,5.76306
2021-10-19 23:00:00,Broadway/35th St,4.52376
2021-10-19 23:00:00,Queens College,4.413456
2021-10-19 23:00:00,Cross Bronx Expy,4.358304
2021-10-19 23:00:00,Queensboro Bridge,4.643256
2021-10-19 23:00:00,Williamsburg Bridge,8.1546
2021-10-19 23:00:00,Manhattan Bridge,5.746296
2021-10-20 00:00:00,Broadway/35th St,4.4799795
2021-10-20 00:00:00,Queens College,4.4982465
2021-10-20 00:00:00,Cross Bronx Expy,5.4481305
2021-10-20 00:00:00,Queensboro Bridge,4.361244
2021-10-20 00:00:00,Williamsburg Bridge,5.493798
2021-10-20 00:00:00,Manhattan Bridge,5.457264
2021-10-20 01:00:00,Broadway/35th St,4.6466115
2021-10-20 01:00:00,Queens College,4.4105445
2021-10-20 01:00:00,Cross Bronx Expy,8.160378
2021-10-20 01:00:00,Queensboro Bridge,4.655691
2021-10-20 01:00:00,Williamsburg Bridge,5.618118
2021-10-20 01:00:00,Manhattan Bridge,5.2095405
2021-10-20 02:00:00,Broadway/35th St,4.45131
2021-10-20 02:00:00,Queens College,4.5687
2021-10-20 02:00:00,Cross Bronx Expy,6.43791
2021-10-20 02:00:00,Queensboro Bridge,4.50549
2021-10-20 02:00:00,Williamsburg Bridge,5.59812
2021-10-20 02:00:00,Manhattan Bridge,5.21886
2021-10-20 03:00:00,Broadway/35th St,4.4375985
2021-10-20 03:00:00,Queens College,4.428618
2021-10-20 03:00:00,Cross Bronx Expy,7.3293195
2021-10-20 03:00:00,Queensboro Bridge,4.7968185
2021-10-20 03:00:00,Williamsburg Bridge,5.5511805
2021-10-20 03:00:00,Manhattan Bridge,5.632005
2021-10-20 04:00:00,Broadway/35th St,4.79292
2021-10-20 04:00:00,Queens College,4.56942
2021-10-20 04:00:00,Cross Bronx Expy,7.46598
2021-10-20 04:00:00,Queensboro Bridge,4.73034
2021-10-20 04:00:00,Williamsburg Bridge,6.0624
2021-10-20 04:00:00,Manhattan Bridge,6.39318
2021-10-20 05:00:00,Broadway/35th St,4.869036
2021-10-20 05:00:00,Queens College,4.8245385
2021-10-20 05:00:00,Cross Bronx Expy,7.3163985
2021-10-20 05:00:00,Queensboro Bridge,4.5397545
2021-10-20 05:00:00,Williamsburg Bridge,6.9070215
2021-10-20 05:00:00,Manhattan Bridge,8.2953435
2021-10-20 06:00:00,Broadway/35th St,5.732793
2021-10-20 06:00:00,Queens College,5.927691
2021-10-20 06:00:00,Cross Bronx Expy,6.893322
2021-10-20 06:00:00,Queensboro Bridge,4.731726
2021-10-20 06:00:00,Williamsburg Bridge,8.346198
2021-10-20 06:00:00,Manhattan Bridge,8.833443
2021-10-20 07:00:00,Broadway/35th St,6.462768
2021-10-20 07:00:00,Queens College,6.462768
2021-10-20 07:00:00,Cross Bronx Expy,7.969962
2021-10-20 07:00:00,Queensboro Bridge,5.969184
